"TA_CODE","TA_NAME","TA_DESC","QDIAL","TA_VERSION","STATE","CATEGORY","AREA","TA_CREATE","TA_LASTMOD"
"061WAF14RayOxon","River Ray and its tributaries from Shipton Lee to and including Islip","River Ray and its tributaries from Shipton Lee to Islip, including Ludgershall, Blackthorn and Murcott","171451","3","A","Flood Alert","Thames","2013-01-31","2013-01-31"
"061WAF14SorBlox","Sor Brook and The Bloxham Brook and their tributaries","Sor Brook and The Bloxham Brook and their tributaries from Horley and Bloxham to and including Adderbury","171447","3","A","Flood Alert","Thames","2017-06-02","2017-08-02"
"061WAF22Lambourn","River Lambourn and its tributaries from Upper Lambourn down to Newbury","River Lambourn from Lambourn to the Shaw area in Newbury including Eastbury, East Garston, Welford, Easton, Boxford, Woodspeen, Bagnor, Donnington, Great Shefford on the Great Shefford Stream and Winterbourne on the Winterbourne Stream","171017","7","A","Flood Alert","Thames","2017-08-29","2017-10-19"
"122FWF526","Town Beck at Addingham","Properties between Wharfe Park and Main Street extending to Town Head Mill","303049","5","A","Flood Warning","Yorkshire","2019-05-17","2019-08-28"
"061WAF24WhtWater","River Whitewater and River Hart","River Whitewater including North Warnborough, Hook and Riseley and the River Hart including Crondall, Crookham Village, Hartley Wintney, Riseley and Fleet","173293","7","A","Flood Alert","Thames","2017-05-31","2017-08-02"
"061WAF30Tilling","Tillingbourne","Tillingbourne including Chilworth and Shalford","215006","6","A","Flood Alert","Thames","2017-08-29","2017-10-19"
"062FAGKimptonGW","Groundwater flooding in Kimpton and Lilley Bottom","Areas at risk of groundwater flooding in Kimpton and Lilley Bottom, including Lye Hill, Whiteway and Claggy Bottom","172999","2","A","Flood Alert","Hertfordshire and North London","2011-11-21","2012-03-01"
"111FWFSTOL817","Lower Stour at Jumpers Common and A35 Iford Bridge area, Christchurch","River Glade, Dukesfield, Squirrels Cl, Stour Way, Links Dr, Burford Cl, Cedar Av, Chestnut Av, Beech Av, Sycamore Cl, River Way, Hurn Way, Wilton Cl, Stourcroft Dr, Crossways, De Redvers Court, Oak Av, The Grove and Stourvale Ave in Christchurch","166024","10","A","Flood Warning","Wessex","2012-03-27","2012-06-27"
"054FWFSF4B","The River Deben from downstream of Cretingham to Ufford","The River Deben from downstream of Cretingham to Ufford, including Letheringham, Easton and Wickham Market","313527","7","A","Flood Warning","East Anglia","2017-06-01","2017-08-02"
"065WAF101","Bourne Rivulet","Bourne Rivulet from Vernham Dean to Hurstbourne Priors","216049","2","A","Flood Alert","Solent and South Downs","2014-04-01","2014-07-02"
"065WAF103","Pillhill Brook","Pillhill Brook from Fyfield to Upper Clatford","216051","3","A","Flood Alert","Solent and South Downs","2016-08-02","2016-10-26"
"011FWFNC11B","River Eden at Low Crosby, Warwick Holmes","Low lying roads, agricultural land and isolated properties adjacent to the River Eden in the Warwick Holmes area","141010","3","A","Flood Warning","Cumbria and Lancashire","2020-12-31","2021-02-17"
"065WAF112","Romsey Tadburn Lake","Tadburn Lake stream through Romsey","216058","11","A","Flood Alert","Solent and South Downs","2014-03-31","2014-07-02"
"065WAF124","Mansbridge and Riverside Park","River Itchen Mansbridge and Riverside Park","216066","2","A","Flood Alert","Solent and South Downs","2015-12-16","2015-12-17"
"065WAF210","River Medina","River Medina from Blackwater to Newport","216073","11","A","Flood Alert","Solent and South Downs","2014-04-01","2014-07-02"
"065WAF420","Stanbridge Stream Petersfield","Stanbridge Stream at South Petersfield including Cranford Road and Borough Grove to The Causeway","216110","1","A","Flood Alert","Solent and South Downs","2017-05-24","2017-08-02"
"065WAF424","Lower Arun","The Rivers Arun, Chilt, Stor and Tortington Stream","216087","16","A","Flood Alert","Solent and South Downs","2016-04-07","2016-07-06"
"123FWF110","Holme Beck at Glusburn","Properties in Glusburn including The Hawthorns, Meadow Lea, Manse Way and Boundary Avenue, plus a cluster of properties on Sutton Lane","137001","13","A","Flood Warning","Yorkshire","2019-06-21","2019-08-28"
"123FWF111","River Aire at Steeton","Steeton Ings including Ings Road, Tewitt Close and the end of Thornhill Road","137032","7","A","Flood Warning","Yorkshire","2019-06-26","2019-08-28"
"111WATCHXH","Christchurch Harbour","Christchurch Harbour and tidal stretches of the Lower Stour and Avon","210036","16","A","Flood Alert","Wessex","2011-12-05","2012-02-29"
"111WATWEYH","Weymouth Harbour","Weymouth Harbour and the tidal stretch of the River Wey","210039","13","A","Flood Alert","Wessex","2011-12-05","2012-02-29"
"123FWF118","River Aire at Branksome Drive, Nab Wood","Nab Wood including Branksome Drive and Branksome Grove","137044","4","A","Flood Warning","Yorkshire","2018-06-15","2018-08-22"
"011FWFNC26A","Wiza Beck and Black Beck at Wigton, Station Rd","Properties on and just off Station Rd including The Innovia Factory, Fire Station, Miller Park and Slaters Yard","302012","5","A","Flood Warning","Cumbria and Lancashire","2020-12-31","2021-02-17"
"065WAF111","Lower Test","River Test and tributaries from Romsey to Totton","216057","15","A","Flood Alert","Solent and South Downs","2017-11-06","2018-02-21"
"065WAF120","Upper Itchen","River Itchen from Hinton Ampner to Abbots Worthy, including the River Alre, and the Candover Stream","216062","13","A","Flood Alert","Solent and South Downs","2017-11-06","2018-02-21"
"123FWF177","River Aire at Knowsthorpe, Thwaite Gate and Stourton","Leeds including Knowsthorpe, Atkinson Gate, Thwaite Gate and Stourton including Knostrop sewage works and Waterside Industrial Park","137147","12","A","Flood Warning","Yorkshire","2018-12-12","2019-02-27"
"123WAF986","River Doe Lea catchment","The River Doe Lea from Hardwick Hall to Staveley","137615","3","A","Flood Alert","Yorkshire","2017-11-27","2018-02-21"
"112WATSOM1","Somerset coast at Porlock Weir","Coastline between Gore Point and Hurlstone Point including Porlock Weir","043211","3","A","Flood Alert","Wessex","2018-01-11","2018-02-21"
"123FWF721","Wortley Beck from Stone Bridge Mill to Whitehall Roundabout","Wortley, including Stone bridge mill, Silver Ryod Hill, Branch Road, ring road and Whitehall road","137317","1","A","Flood Warning","Yorkshire","2016-08-05","2016-10-26"
